iter	Passed	Remaining
453	1769	226
454	1772	222
455	1775	218
456	1778	214
457	1781	210
458	1784	206
459	1787	202
460	1789	198
461	1793	194
462	1795	190
463	1799	186
464	1802	182
465	1805	178
466	1809	174
467	1811	170
468	1814	166
469	1817	162
470	1820	158
471	1823	154
472	1826	150
473	1830	146
474	1834	142
475	1837	138
476	1840	135
477	1844	131
478	1847	127
479	1850	123
480	1853	119
481	1858	115
482	1862	111
483	1866	107
484	1870	104
485	1873	100
486	1876	96
487	1879	92
488	1883	88
489	1887	84
490	1889	80
491	1892	76
492	1897	73
493	1900	69
494	1903	65
495	1906	61
496	1910	57
497	1913	53
498	1915	49
499	1918	46
500	1921	42
501	1924	38
502	1927	34
503	1930	30
504	1933	26
505	1935	22
506	1938	19
507	1941	15
508	1945	11
509	1948	7
510	1950	3
511	1954	0
