iter	Logloss
167	0.3695524071
168	0.3693071749
169	0.3689948926
170	0.3686887922
171	0.3684099967
172	0.3681724057
173	0.3680531451
174	0.3679006969
175	0.367668062
176	0.3674913243
177	0.36728776
178	0.3669772927
179	0.3667170863
180	0.3664055387
181	0.3661836026
182	0.3658572182
183	0.3654564985
184	0.3652408354
185	0.3650276379
186	0.3648556459
187	0.3646794238
188	0.3644706961
189	0.3641724722
190	0.3639308787
191	0.3636841657
192	0.3634393195
193	0.3632001915
194	0.3629720779
195	0.3628136259
196	0.3626418439
197	0.3624467764
198	0.3621464794
199	0.3619276864
200	0.3617042253
201	0.3614555829
202	0.3612658273
203	0.3609986007
204	0.3608165758
205	0.36065815
206	0.3603060602
207	0.3601162924
208	0.3599492475
209	0.3597711605
210	0.3594878748
211	0.3593132318
212	0.3591514423
213	0.3589475409
214	0.358800839
215	0.3585931925
216	0.3584247138
217	0.3582017286
218	0.3580062121
219	0.3576700311
220	0.3573783267
221	0.3572196983
222	0.357011913
223	0.3567092736
224	0.3563309742
225	0.3561978399
226	0.3559395406
227	0.3556819396
228	0.3555440969
229	0.3554044128
230	0.3552325143
231	0.3549471941
232	0.3547623195
233	0.3545119476
234	0.3543308403
235	0.3541538827
236	0.3538293025
237	0.3537276365
238	0.3535392414
239	0.3533397965
240	0.3530578795
241	0.3528038696
242	0.3526459088
243	0.35246755
244	0.3522392326
245	0.3520376316
246	0.3518724057
247	0.351788617
248	0.35161842
249	0.3514328419
250	0.3512657606
251	0.3510666686
252	0.3509181563
253	0.3507577802
254	0.3506201863
255	0.3504222842
256	0.3502234478
257	0.3499843976
258	0.3498852379
259	0.3496840238
260	0.3494740543
261	0.3493182676
262	0.3491126899
263	0.3489626735
264	0.3487889074
265	0.3486690529
266	0.3485009541
267	0.3484063957
268	0.3482105292
269	0.3479643482
270	0.3477002164
271	0.3474753787
272	0.347227513
273	0.3470488222
274	0.3469349073
275	0.3467084302
276	0.3465457248
277	0.3463777754
278	0.3462959023
279	0.3460302994
280	0.3457717496
281	0.3455576437
282	0.3453178828
283	0.3452295909
284	0.3451492413
285	0.3449391009
286	0.3447540214
287	0.344564859
288	0.3444261734
289	0.3442848265
290	0.3441193234
291	0.3439976931
292	0.343772581
293	0.343649993
294	0.3433677053
295	0.3430643186
296	0.3428844328
297	0.3427690424
298	0.3426324486
299	0.3425036922
300	0.3423044334
301	0.3421338199
302	0.3419157103
303	0.3417523748
304	0.3415319486
305	0.3414659143
306	0.341305689
307	0.3411798031
308	0.3409871066
309	0.340783622
310	0.3406325816
311	0.340505799
312	0.3404288694
313	0.3402156034
314	0.3401152536
315	0.3398982748
316	0.339773663
317	0.3395678387
318	0.3393793332
319	0.3391858079
320	0.3389856458
321	0.3388966434
322	0.3387800252
323	0.3385890998
324	0.3385024231
325	0.3383069466
326	0.338132165
327	0.3380115754
328	0.337844001
329	0.3376890478
330	0.3375734445
331	0.3373649612
332	0.3371841375
333	0.3370182458
334	0.3368781536
335	0.3367713055
336	0.3366553047
337	0.3365351736
338	0.3364295629
339	0.3363675883
340	0.3362409207
341	0.3359699871
342	0.3357849689
343	0.3356117742
344	0.3355147139
345	0.33541705
346	0.3352355905
347	0.3351550232
348	0.3348734966
349	0.3347126212
350	0.3345861976
351	0.3343416055
352	0.3341537973
353	0.3339761524
354	0.3337635387
355	0.3336443147
356	0.3335366102
357	0.3334714645
358	0.3333509973
359	0.3332729405
360	0.3331050995
361	0.3330084787
362	0.3328494975
363	0.3326741635
364	0.3325639299
365	0.3323930406
366	0.3322342774
367	0.3321296727
368	0.3319825822
369	0.3318309985
370	0.3316408884
371	0.3314790287
372	0.33132577
373	0.3311833551
374	0.3310384315
375	0.330925107
376	0.3306453727
377	0.3304543602
378	0.3304105051
379	0.3302448602
380	0.3300752044
381	0.3299056155
382	0.3297976069
383	0.3295936983
384	0.3293812241
385	0.3292223482
386	0.3291444429
387	0.3289859759
388	0.3289658435
389	0.3287888808
390	0.3285661932
391	0.3284419818
392	0.328207209
393	0.3280726479
394	0.3279237439
395	0.3277686208
396	0.3276639651
397	0.3275729898
398	0.3274296466
399	0.3272986412
400	0.3270000633
401	0.3268979888
402	0.3267753563
403	0.3266113232
404	0.3264875873
405	0.3263888654
406	0.3261987903
407	0.3259567216
408	0.325781763
409	0.3256501295
410	0.3254319004
411	0.3252795425
412	0.3250882184
413	0.3249675603
414	0.3247442088
415	0.3246816707
416	0.3244239498
417	0.3243371937
418	0.3242275532
419	0.3241264344
420	0.3240046833
421	0.3238384517
422	0.3237893258
423	0.3236423365
424	0.3235392547
425	0.3234291816
426	0.3233145026
427	0.3231691337
428	0.3229192558
429	0.3227785624
430	0.3226819828
431	0.3225702381
432	0.3224022644
433	0.322336425
434	0.3222526591
435	0.3220544608
436	0.3219535494
437	0.3218649655
438	0.3217893069
439	0.3216368521
440	0.3215591179
441	0.3214922428
442	0.3212477838
443	0.3211583152
444	0.3209354839
445	0.3209213264
446	0.3206799068
447	0.3204480138
448	0.320156037
449	0.320115836
450	0.3199581217
451	0.3196960664
452	0.3194897112
453	0.3193412356
454	0.3191862209
455	0.3190495465
456	0.3189721559
457	0.3187891249
458	0.3185222438
459	0.3183632359
460	0.3182180077
461	0.3180573887
462	0.317921816
463	0.3177781711
464	0.3176171621
465	0.3175035277
466	0.3173166885
467	0.3171851193
468	0.3169345316
469	0.3167677062
470	0.3166074123
471	0.3165075153
472	0.3164082977
473	0.3162809069
474	0.3160561361
475	0.3158104672
476	0.3158071229
477	0.3156803826
478	0.3154998407
479	0.3153661774
480	0.315172706
481	0.3150252038
482	0.3148899351
483	0.3147717155
484	0.3146944028
485	0.3145762918
486	0.3144534801
487	0.314344895
488	0.3141929902
489	0.3139866116
490	0.3139759636
491	0.313817934
492	0.3136784029
493	0.3134502655
494	0.3133053672
495	0.3131818482
496	0.3129309589
497	0.3127454968
498	0.3126294246
499	0.312574818
500	0.3124378748
501	0.312214997
502	0.3120105025
503	0.3118869027
504	0.3117692099
505	0.3116384538
506	0.3113865575
507	0.3112375826
508	0.3110312745
509	0.3109189428
510	0.3108594764
511	0.310631898
